w,s,p,T,avg_age,max_age
1,1,0.5,300,0.9957219269102968,7.5745
2,1,0.5,300,0.9927906976744125,7.56
2,2,0.5,300,0.9924700996677626,7.5598
3,1,0.5,300,0.9939006644518144,7.5755
3,2,0.5,300,0.8636621262458113,7.0185
3,3,0.5,300,0.9098142857142608,7.2483
4,1,0.5,300,0.9931159468438429,7.5885
4,2,0.5,300,0.8491418604650783,6.6598
4,3,0.5,300,0.8483923588039514,6.8678
4,4,0.5,300,0.882964119601295,7.1579
5,1,0.5,300,0.9920694352159366,7.6016
5,2,0.5,300,0.8181940199335214,6.7592
5,3,0.5,300,0.7235009966777163,4.9899
5,4,0.5,300,0.7693857142856817,6.5869
5,5,0.5,300,0.8111471760797011,6.8213
6,1,0.5,300,0.9941481727574668,7.6075
6,2,0.5,300,0.7961906976743832,6.3818
6,3,0.5,300,0.7575747508305328,5.7623
6,4,0.5,300,0.7419956810630961,5.2406
6,5,0.5,300,0.7643478405315298,6.3687
6,6,0.5,300,0.7986847176079377,6.5095
7,1,0.5,300,0.9961581395348726,7.6587
7,2,0.5,300,0.7641946843853524,6.2395
7,3,0.5,300,0.7121176079733975,4.9788
7,4,0.5,300,0.690143521594663,4.4716
7,5,0.5,300,0.7040624584717361,4.7002
7,6,0.5,300,0.7185023255813726,5.8407
7,7,0.5,300,0.7579877076411645,5.8449
8,1,0.5,300,0.9968435215946778,7.6792
8,2,0.5,300,0.7640524916943189,6.2092
8,3,0.5,300,0.6931664451827042,4.3476
8,4,0.5,300,0.6951544850498137,4.6832
8,5,0.5,300,0.6983508305647634,4.3905
8,6,0.5,300,0.6924990033222396,4.6684
8,7,0.5,300,0.7026910299003113,5.3887
8,8,0.5,300,0.7383803986710669,5.4705
9,1,0.5,300,0.9989823920265705,7.7604
9,2,0.5,300,0.7323461794019664,5.9992
9,3,0.5,300,0.6836398671096168,4.1228
9,4,0.5,300,0.67553820598005,4.5989
9,5,0.5,300,0.6716850498338717,4.0297
9,6,0.5,300,0.6729325581395188,4.553
9,7,0.5,300,0.6780279069767203,4.3613
9,8,0.5,300,0.6794890365448323,4.8643
9,9,0.5,300,0.7131999999999781,5.0334
10,1,0.5,300,0.9979325581395259,7.7521
10,2,0.5,300,0.731988372092996,5.9127
10,3,0.5,300,0.6838534883720712,4.0769
10,4,0.5,300,0.6698777408637707,3.988
10,5,0.5,300,0.6692049833886871,4.0713
10,6,0.5,300,0.6675843853820429,4.178
10,7,0.5,300,0.6692229235880264,4.2873
10,8,0.5,300,0.6688132890365277,4.1683
10,9,0.5,300,0.6703408637873552,4.5594
10,10,0.5,300,0.702244518272404,4.8142
11,1,0.5,300,1.0003611295681019,7.7952
11,2,0.5,300,0.7138112956810437,5.82
11,3,0.5,300,0.6690747508305491,3.4614
11,4,0.5,300,0.6446790697674286,3.677
11,5,0.5,300,0.6615471760797197,3.8157
11,6,0.5,300,0.6365983388704223,3.7784
11,7,0.5,300,0.6510651162790537,3.8827
11,8,0.5,300,0.64726810631228,3.9405
11,9,0.5,300,0.6489299003322139,3.8133
11,10,0.5,300,0.6554996677740698,4.3471
11,11,0.5,300,0.6807810631229048,4.3965
12,1,0.5,300,1.0057318936877004,7.8858
12,2,0.5,300,0.712723588039843,5.6825
12,3,0.5,300,0.667669102990018,3.5528
12,4,0.5,300,0.6541671096345372,3.8392
12,5,0.5,300,0.6547328903654372,3.7793
12,6,0.5,300,0.6465046511627801,3.9372
12,7,0.5,300,0.6447697674418512,3.8304
12,8,0.5,300,0.6479999999999884,3.9298
12,9,0.5,300,0.6457425249169316,4.0388
12,10,0.5,300,0.6578049833886912,4.1389
12,11,0.5,300,0.6467358803986605,4.0749
12,12,0.5,300,0.6739803986710784,4.3635
13,1,0.5,300,1.0050262458471706,7.9208
13,2,0.5,300,0.6977980066445009,5.6378
13,3,0.5,300,0.662919269102971,3.2751
13,4,0.5,300,0.6402435215946721,3.7736
13,5,0.5,300,0.6458843853820462,3.5207
13,6,0.5,300,0.6338508305647736,3.9564
13,7,0.5,300,0.6365840531561369,3.6041
