w,s,p,T,avg_age,max_age
1,1,0.05,1000,18.63862637362642,87.205
2,1,0.05,1000,18.55513186813188,86.166
2,2,0.05,1000,18.347122877122878,85.659
3,1,0.05,1000,18.987917082917065,88.946
3,2,0.05,1000,18.515656343656364,87.333
3,3,0.05,1000,18.639686313686326,86.792
4,1,0.05,1000,18.809942057942038,87.082
4,2,0.05,1000,18.418350649350664,86.221
4,3,0.05,1000,18.350529470529455,85.557
4,4,0.05,1000,18.7635954045954,88.139
5,1,0.05,1000,19.49576923076922,92.076
5,2,0.05,1000,18.896866133866123,88.057
5,3,0.05,1000,18.572745254745254,86.877
5,4,0.05,1000,18.635136863136836,87.501
5,5,0.05,1000,18.465157842157836,86.435
6,1,0.05,1000,19.48912787212789,91.771
6,2,0.05,1000,18.91802697302697,88.597
6,3,0.05,1000,18.359388611388628,86.869
6,4,0.05,1000,18.44673926073926,87.537
6,5,0.05,1000,18.416289710289714,85.954
6,6,0.05,1000,18.699741258741255,87.383
7,1,0.05,1000,20.61824475524477,97.979
7,2,0.05,1000,18.8426053946054,87.966
7,3,0.05,1000,18.594478521478536,86.514
7,4,0.05,1000,18.19866033966037,86.3
7,5,0.05,1000,18.368173826173823,86.666
7,6,0.05,1000,18.427668331668343,86.754
7,7,0.05,1000,18.344878121878118,86.107
8,1,0.05,1000,20.53847352647351,97.805
8,2,0.05,1000,19.471922077922052,91.839
8,3,0.05,1000,18.40948951048952,86.853
8,4,0.05,1000,18.09759740259741,86.059
8,5,0.05,1000,18.071522477522464,85.871
8,6,0.05,1000,18.309412587412563,85.924
8,7,0.05,1000,18.682806193806215,89.548
8,8,0.05,1000,18.574449550449543,86.669
9,1,0.05,1000,21.980428571428522,108.231
9,2,0.05,1000,19.395730269730286,91.232
9,3,0.05,1000,18.714374625374603,88.288
9,4,0.05,1000,18.514300699300737,87.691
9,5,0.05,1000,18.2522777222777,87.522
9,6,0.05,1000,18.112369630369628,87.089
9,7,0.05,1000,18.224411588411577,85.089
9,8,0.05,1000,18.13226873126873,85.664
9,9,0.05,1000,18.357285714285698,86.906
10,1,0.05,1000,22.16718381618382,108.926
10,2,0.05,1000,19.430051948051943,92.13
10,3,0.05,1000,18.515824175824168,87.789
10,4,0.05,1000,18.421613386613387,87.189
10,5,0.05,1000,17.718929070929057,85.479
10,6,0.05,1000,17.959209790209805,86.753
10,7,0.05,1000,18.266734265734264,86.872
10,8,0.05,1000,18.34059340659341,86.549
10,9,0.05,1000,18.22224675324676,86.014
10,10,0.05,1000,18.37101798201798,86.358
11,1,0.05,1000,23.86084615384616,122.263
11,2,0.05,1000,20.478072927072937,98.237
11,3,0.05,1000,19.032694305694303,90.057
11,4,0.05,1000,18.269088911088897,85.566
11,5,0.05,1000,18.406172827172814,87.869
11,6,0.05,1000,17.731271728271757,85.315
11,7,0.05,1000,17.65665034965034,85.298
11,8,0.05,1000,18.201283716283736,87.07
11,9,0.05,1000,18.56765134865135,88.002
11,10,0.05,1000,18.095710289710286,85.545
11,11,0.05,1000,18.134000999000985,86.147
12,1,0.05,1000,23.712029970029906,121.308
12,2,0.05,1000,20.37951848151849,98.934
12,3,0.05,1000,19.12913386613386,90.475
12,4,0.05,1000,18.499508491508486,87.892
12,5,0.05,1000,18.273923076923072,86.149
12,6,0.05,1000,17.657488511488516,86.305
12,7,0.05,1000,17.810450549450557,86.31
12,8,0.05,1000,17.772723276723276,86.472
12,9,0.05,1000,18.14244155844155,86.179
12,10,0.05,1000,18.27444155844158,87.16
12,11,0.05,1000,18.29636463536465,87.259
12,12,0.05,1000,18.08453046953049,85.868
13,1,0.05,1000,25.716957042957027,135.872
13,2,0.05,1000,19.992187812187826,97.255
13,3,0.05,1000,19.16989410589409,90.79
