w,s,p,T,avg_age,max_age
1,1,0.05,300,17.70843621262456,63.4749
2,1,0.05,300,17.734839867109677,63.738
2,2,0.05,300,17.827171760797338,63.8084
3,1,0.05,300,18.9052534883721,66.8457
3,2,0.05,300,17.73692724252489,63.756
3,3,0.05,300,17.76442159468443,63.8088
4,1,0.05,300,18.869412624584733,66.825
4,2,0.05,300,17.61708803986702,63.3007
4,3,0.05,300,17.640269767441925,63.3999
4,4,0.05,300,17.780648172757438,63.7577
5,1,0.05,300,21.076221262458475,73.8838
5,2,0.05,300,18.60686677740861,66.2575
5,3,0.05,300,17.52278803986714,63.1595
5,4,0.05,300,17.57968139534888,63.2085
5,5,0.05,300,17.631394019933396,63.2842
6,1,0.05,300,21.228978073089603,74.4492
6,2,0.05,300,18.560297342192698,66.2183
6,3,0.05,300,17.531320930232575,63.3946
6,4,0.05,300,17.590637209302336,63.6766
6,5,0.05,300,17.73870265780736,63.9401
6,6,0.05,300,17.683046843853752,63.6284
7,1,0.05,300,24.50648504983395,84.8352
7,2,0.05,300,18.653404318936886,66.6765
7,3,0.05,300,18.473128903654462,66.2238
7,4,0.05,300,17.387722923588022,63.1174
7,5,0.05,300,17.488630232558158,63.2579
7,6,0.05,300,17.487281727574736,63.0479
7,7,0.05,300,17.52849335548173,63.0475
8,1,0.05,300,24.395234551494966,84.844
8,2,0.05,300,20.663942524916944,72.8585
8,3,0.05,300,18.400141860465148,65.9717
8,4,0.05,300,17.23263687707637,62.7689
8,5,0.05,300,17.329287043189414,63.2924
8,6,0.05,300,17.64802757475083,63.6968
8,7,0.05,300,17.542616279069726,63.341
8,8,0.05,300,17.496084717607992,63.2207
9,1,0.05,300,28.95130830564786,98.5822
9,2,0.05,300,20.60905481727587,73.0453
9,3,0.05,300,18.294284053156158,65.7546
9,4,0.05,300,18.200168106312315,65.7082
9,5,0.05,300,17.284978405315588,63.1524
9,6,0.05,300,17.228978405315654,62.7103
9,7,0.05,300,17.501048172757468,63.3355
9,8,0.05,300,17.455679069767438,63.1527
9,9,0.05,300,17.48763322259143,63.5095
10,1,0.05,300,29.43615747508298,99.7996
10,2,0.05,300,20.823619601328907,73.7721
10,3,0.05,300,18.35371561461803,66.1951
10,4,0.05,300,18.194077076411933,65.8217
10,5,0.05,300,16.99903023255803,62.357
10,6,0.05,300,17.081668438538177,62.8362
10,7,0.05,300,17.3220132890365,63.1199
10,8,0.05,300,17.386630897009947,63.0499
10,9,0.05,300,17.508024916943537,63.6256
10,10,0.05,300,17.48788272425241,63.4335
11,1,0.05,300,34.21994451827237,113.6279
11,2,0.05,300,23.633041860465166,82.7009
11,3,0.05,300,20.287486378737515,72.1701
11,4,0.05,300,18.095599335548084,65.553
11,5,0.05,300,17.952227242524938,65.4516
11,6,0.05,300,16.94891328903655,62.449
11,7,0.05,300,16.931998006644594,62.5448
11,8,0.05,300,17.327486378737596,62.9101
11,9,0.05,300,17.331827574750942,62.9611
11,10,0.05,300,17.416538538205984,63.2395
11,11,0.05,300,17.290911295680967,62.7204
12,1,0.05,300,35.20495149501666,115.9422
12,2,0.05,300,23.763477408637875,83.2727
12,3,0.05,300,20.109632225913714,71.6101
12,4,0.05,300,18.087821926910223,65.4976
12,5,0.05,300,17.749980066445254,64.682
12,6,0.05,300,16.643548172757473,61.599
12,7,0.05,300,16.703570764119558,62.0445
12,8,0.05,300,16.915981395348922,62.3962
12,9,0.05,300,17.2407820598007,62.962
12,10,0.05,300,17.300074750830557,62.9994
12,11,0.05,300,17.26165780730902,62.7997
