p,w,s,base,best,gain
0.05,002,001,17.708436,17.734840,1.001491
0.10,002,001,8.673500,8.698689,1.002904
0.15,002,001,5.522484,5.546182,1.004291
0.20,002,002,3.935719,3.933181,0.999355
0.25,002,001,2.960641,2.954734,0.998005
0.30,002,001,2.302458,2.303897,1.000625
0.35,002,001,1.837574,1.839614,1.001110
0.40,002,002,1.488330,1.483038,0.996445
0.45,002,002,1.214326,1.213065,0.998962
0.50,002,001,0.994814,0.994057,0.999239
0.05,003,002,17.708436,17.736927,1.001609
0.10,003,002,8.673500,8.626833,0.994620
0.15,003,002,5.522484,5.454918,0.987765
0.20,003,002,3.935719,3.813716,0.969001
0.25,003,002,2.960641,2.825989,0.954519
0.30,003,002,2.302458,2.161244,0.938668
0.35,003,002,1.837574,1.692403,0.920998
0.40,003,002,1.488330,1.341580,0.901400
0.45,003,002,1.214326,1.076009,0.886096
0.50,003,002,0.994814,0.865902,0.870415
0.05,004,002,17.708436,17.617088,0.994842
0.10,004,002,8.673500,8.518359,0.982113
0.15,004,002,5.522484,5.322943,0.963867
0.20,004,002,3.935719,3.703523,0.941003
0.25,004,002,2.960641,2.726019,0.920753
0.30,004,002,2.302458,2.083264,0.904800
0.35,004,002,1.837574,1.624903,0.884265
0.40,004,002,1.488330,1.292233,0.868243
0.45,004,002,1.214326,1.043497,0.859322
0.50,004,002,0.994814,0.849650,0.854080
0.05,005,003,17.708436,17.522788,0.989516
0.10,005,003,8.673500,8.409024,0.969508
0.15,005,003,5.522484,5.150376,0.932620
0.20,005,003,3.935719,3.457049,0.878378
0.25,005,003,2.960641,2.448224,0.826924
0.30,005,003,2.302458,1.809427,0.785867
0.35,005,003,1.837574,1.371296,0.746253
0.40,005,003,1.488330,1.081260,0.726492
0.45,005,003,1.214326,0.876413,0.721728
0.50,005,003,0.994814,0.723567,0.727339
0.05,006,003,17.708436,17.531321,0.989998
0.10,006,003,8.673500,8.275672,0.954133
0.15,006,003,5.522484,5.054635,0.915283
0.20,006,004,3.935719,3.437100,0.873309
0.25,006,004,2.960641,2.458588,0.830424
0.30,006,004,2.302458,1.826532,0.793296
0.35,006,004,1.837574,1.413441,0.769189
0.40,006,004,1.488330,1.118759,0.751688
0.45,006,004,1.214326,0.903695,0.744195
0.50,006,004,0.994814,0.742436,0.746306
0.05,007,004,17.708436,17.387723,0.981889
0.10,007,004,8.673500,8.145797,0.939159
0.15,007,004,5.522484,4.848571,0.877969
0.20,007,004,3.935719,3.201585,0.813469
0.25,007,004,2.960641,2.251827,0.760588
0.30,007,004,2.302458,1.672010,0.726185
0.35,007,004,1.837574,1.291440,0.702796
0.40,007,004,1.488330,1.031222,0.692872
0.45,007,004,1.214326,0.837076,0.689334
0.50,007,004,0.994814,0.689319,0.692912
0.05,008,004,17.708436,17.232637,0.973131
0.10,008,005,8.673500,7.897114,0.910488
0.15,008,005,5.522484,4.611849,0.835104
0.20,008,005,3.935719,3.027891,0.769336
0.25,008,005,2.960641,2.147239,0.725262
0.30,008,005,2.302458,1.629690,0.707804
0.35,008,005,1.837574,1.285373,0.699495
0.40,008,003,1.488330,1.030826,0.692606
0.45,008,003,1.214326,0.835718,0.688216
0.50,008,006,0.994814,0.691481,0.695086
0.05,009,006,17.708436,17.228978,0.972925
0.10,009,005,8.673500,7.839567,0.903853
0.15,009,005,5.522484,4.533404,0.820899
0.20,009,005,3.935719,2.935826,0.745944
0.25,009,005,2.960641,2.074442,0.700673
0.30,009,005,2.302458,1.560631,0.677811
0.35,009,005,1.837574,1.225629,0.666982
0.40,009,005,1.488330,0.989893,0.665103
0.45,009,005,1.214326,0.811770,0.668495
0.50,009,005,0.994814,0.673036,0.676545
0.05,010,005,17.708436,16.999030,0.959940
0.10,010,006,8.673500,7.629317,0.879612
0.15,010,006,5.522484,4.371167,0.791522
0.20,010,006,3.935719,2.861043,0.726943
0.25,010,006,2.960641,2.059838,0.695741
0.30,010,006,2.302458,1.572505,0.682968
0.35,010,006,1.837574,1.236798,0.673060
0.40,010,004,1.488330,0.988600,0.664235
0.45,010,006,1.214326,0.808360,0.665687
0.50,010,006,0.994814,0.667147,0.670624
0.05,011,007,17.708436,16.931998,0.956154
0.10,011,007,8.673500,7.322193,0.844203
0.15,011,007,5.522484,4.177829,0.756513
0.20,011,007,3.935719,2.769147,0.703594
0.25,011,006,2.960641,1.979810,0.668710
0.30,011,006,2.302458,1.498142,0.650671
0.35,011,006,1.837574,1.172574,0.638110
0.40,011,006,1.488330,0.940270,0.631762
0.45,011,006,1.214326,0.768092,0.632526
0.50,011,006,0.994814,0.636213,0.639529
0.05,012,006,17.708436,16.643548,0.939865
0.10,012,007,8.673500,7.311461,0.842966
0.15,012,007,5.522484,4.136033,0.748944
0.20,012,007,3.935719,2.741243,0.696504
0.25,012,007,2.960641,1.991012,0.672493
0.30,012,007,2.302458,1.518965,0.659715
0.35,012,007,1.837574,1.191795,0.648570
0.40,012,007,1.488330,0.956013,0.642339
0.45,012,007,1.214326,0.781146,0.643275
0.50,012,007,0.994814,0.644597,0.647957
0.05,013,008,17.708436,16.492667,0.931345
0.10,013,008,8.673500,7.095557,0.818073
0.15,013,007,5.522484,4.051927,0.733715
0.20,013,007,3.935719,2.653733,0.674269
0.25,013,007,2.960641,1.920727,0.648754
0.30,013,007,2.302458,1.472435,0.639506
0.35,013,007,1.837574,1.163741,0.633303
0.40,013,007,1.488330,0.937044,0.629594
0.45,013,007,1.214326,0.766284,0.631037
0.50,013,006,0.994814,0.634113,0.637419
0.05,014,009,17.708436,16.286604,0.919709
0.10,014,009,8.673500,6.941144,0.800270
0.15,014,008,5.522484,3.979813,0.720656
0.20,014,008,3.935719,2.638190,0.670320
0.25,014,005,2.960641,1.878879,0.634619
0.30,014,005,2.302458,1.445303,0.627722
0.35,014,006,1.837574,1.156562,0.629396
0.40,014,006,1.488330,0.926306,0.622379
0.45,014,006,1.214326,0.758245,0.624417
0.50,014,013,0.994814,0.624714,0.627971
0.05,015,009,17.708436,16.238782,0.917008
0.10,015,009,8.673500,6.844906,0.789175
0.15,015,009,5.522484,3.897334,0.705721
0.20,015,008,3.935719,2.608516,0.662780
0.25,015,005,2.960641,1.890203,0.638444
0.30,015,005,2.302458,1.441567,0.626099
0.35,015,004,1.837574,1.142528,0.621759
0.40,015,008,1.488330,0.919937,0.618100
0.45,015,008,1.214326,0.749357,0.617098
0.50,015,008,0.994814,0.619957,0.623188
0.05,016,010,17.708436,15.930428,0.899595
0.10,016,010,8.673500,6.700763,0.772556
0.15,016,010,5.522484,3.858358,0.698663
0.20,016,009,3.935719,2.591920,0.658563
0.25,016,006,2.960641,1.889043,0.638052
0.30,016,006,2.302458,1.443928,0.627125
0.35,016,006,1.837574,1.140973,0.620913
0.40,016,009,1.488330,0.918016,0.616810
0.45,016,006,1.214326,0.750411,0.617965
0.50,016,009,0.994814,0.621942,0.625184
