p,w,s,base,best,gain
0.05,002,001,63.474900,63.738000,1.004145
0.10,002,001,37.100600,37.232000,1.003542
0.15,002,001,26.408500,26.475400,1.002533
0.20,002,001,20.441100,20.405200,0.998244
0.25,002,001,16.517800,16.471100,0.997173
0.30,002,001,13.717200,13.720800,1.000262
0.35,002,002,11.640200,11.664800,1.002113
0.40,002,002,10.002800,9.962900,0.996011
0.45,002,002,8.666900,8.691200,1.002804
0.50,002,001,7.563500,7.565900,1.000317
0.05,003,002,63.474900,63.756000,1.004429
0.10,003,002,37.100600,37.168100,1.001819
0.15,003,003,26.408500,26.264700,0.994555
0.20,003,003,20.441100,20.224800,0.989418
0.25,003,002,16.517800,16.224500,0.982243
0.30,003,002,13.717200,13.389400,0.976103
0.35,003,002,11.640200,11.337400,0.973987
0.40,003,002,10.002800,9.587000,0.958432
0.45,003,002,8.666900,8.217600,0.948159
0.50,003,002,7.563500,7.050800,0.932214
0.05,004,002,63.474900,63.300700,0.997256
0.10,004,003,37.100600,36.875400,0.993930
0.15,004,002,26.408500,26.144900,0.990018
0.20,004,002,20.441100,19.959400,0.976435
0.25,004,002,16.517800,15.921600,0.963906
0.30,004,002,13.717200,13.078500,0.953438
0.35,004,002,11.640200,10.857500,0.932759
0.40,004,002,10.002800,9.100500,0.909795
0.45,004,002,8.666900,7.783000,0.898014
0.50,004,002,7.563500,6.667600,0.881550
0.05,005,003,63.474900,63.159500,0.995031
0.10,005,003,37.100600,36.812100,0.992224
0.15,005,003,26.408500,25.883300,0.980112
0.20,005,003,20.441100,19.494900,0.953711
0.25,005,003,16.517800,15.267500,0.924306
0.30,005,003,13.717200,12.169000,0.887134
0.35,005,003,11.640200,9.712400,0.834384
0.40,005,003,10.002800,7.798300,0.779612
0.45,005,003,8.666900,6.229900,0.718815
0.50,005,003,7.563500,4.992200,0.660038
0.05,006,003,63.474900,63.394600,0.998735
0.10,006,003,37.100600,36.561700,0.985475
0.15,006,003,26.408500,25.461700,0.964148
0.20,006,003,20.441100,19.058500,0.932362
0.25,006,003,16.517800,14.932200,0.904007
0.30,006,004,13.717200,12.003700,0.875084
0.35,006,004,11.640200,9.697300,0.833087
0.40,006,004,10.002800,7.861100,0.785890
0.45,006,004,8.666900,6.387500,0.736999
0.50,006,004,7.563500,5.274000,0.697296
0.05,007,007,63.474900,63.047500,0.993267
0.10,007,004,37.100600,36.328900,0.979200
0.15,007,004,26.408500,25.080500,0.949713
0.20,007,004,20.441100,18.615700,0.910700
0.25,007,004,16.517800,14.174600,0.858141
0.30,007,004,13.717200,10.862700,0.791904
0.35,007,004,11.640200,8.355000,0.717771
0.40,007,004,10.002800,6.621300,0.661945
0.45,007,004,8.666900,5.336600,0.615745
0.50,007,004,7.563500,4.447200,0.587982
0.05,008,004,63.474900,62.768900,0.988877
0.10,008,004,37.100600,35.841800,0.966071
0.15,008,005,26.408500,24.409600,0.924308
0.20,008,005,20.441100,17.681600,0.865002
0.25,008,005,16.517800,12.985800,0.786170
0.30,008,005,13.717200,9.766000,0.711953
0.35,008,005,11.640200,7.537900,0.647575
0.40,008,005,10.002800,6.079400,0.607770
0.45,008,005,8.666900,5.092500,0.587580
0.50,008,003,7.563500,4.337400,0.573465
0.05,009,006,63.474900,62.710300,0.987954
0.10,009,005,37.100600,35.779900,0.964402
0.15,009,005,26.408500,24.039300,0.910286
0.20,009,005,20.441100,17.103400,0.836716
0.25,009,005,16.517800,12.373100,0.749077
0.30,009,005,13.717200,9.008400,0.656723
0.35,009,005,11.640200,6.889400,0.591863
0.40,009,005,10.002800,5.606200,0.560463
0.45,009,005,8.666900,4.716800,0.544232
0.50,009,005,7.563500,4.041400,0.534329
0.05,010,005,63.474900,62.357000,0.982388
0.10,010,005,37.100600,35.030400,0.944200
0.15,010,006,26.408500,23.358000,0.884488
0.20,010,006,20.441100,16.208200,0.792922
0.25,010,006,16.517800,11.628900,0.704022
0.30,010,006,13.717200,8.700300,0.634262
0.35,010,006,11.640200,6.956300,0.597610
0.40,010,006,10.002800,5.788000,0.578638
0.45,010,004,8.666900,4.768700,0.550220
0.50,010,004,7.563500,3.994800,0.528168
0.05,011,006,63.474900,62.449000,0.983838
0.10,011,007,37.100600,34.309100,0.924759
0.15,011,007,26.408500,22.182000,0.839957
0.20,011,007,20.441100,15.041400,0.735841
0.25,011,007,16.517800,10.701500,0.647877
0.30,011,007,13.717200,8.085100,0.589413
0.35,011,006,11.640200,6.379600,0.548066
0.40,011,006,10.002800,5.254500,0.525303
0.45,011,004,8.666900,4.265400,0.492148
0.50,011,003,7.563500,3.431700,0.453719
0.05,012,006,63.474900,61.599000,0.970447
0.10,012,006,37.100600,34.256700,0.923346
0.15,012,007,26.408500,21.958900,0.831509
0.20,012,007,20.441100,14.795000,0.723787
0.25,012,007,16.517800,10.506900,0.636096
0.30,012,007,13.717200,8.085000,0.589406
0.35,012,007,11.640200,6.592400,0.566348
0.40,012,005,10.002800,5.242800,0.524133
0.45,012,005,8.666900,4.412200,0.509086
0.50,012,003,7.563500,3.575700,0.472757
0.05,013,008,63.474900,61.496600,0.968833
0.10,013,008,37.100600,33.393000,0.900066
0.15,013,008,26.408500,20.942100,0.793006
0.20,013,007,20.441100,13.995600,0.684679
0.25,013,007,16.517800,9.775900,0.591840
0.30,013,007,13.717200,7.583000,0.552810
0.35,013,005,11.640200,6.063600,0.520919
0.40,013,005,10.002800,4.834100,0.483275
0.45,013,005,8.666900,4.096800,0.472695
0.50,013,003,7.563500,3.255200,0.430383
0.05,014,007,63.474900,60.784100,0.957608
0.10,014,009,37.100600,32.720100,0.881929
0.15,014,009,26.408500,19.964100,0.755973
0.20,014,008,20.441100,13.447500,0.657866
0.25,014,008,16.517800,9.589100,0.580531
0.30,014,005,13.717200,6.778700,0.494175
0.35,014,005,11.640200,5.310600,0.456229
0.40,014,005,10.002800,4.550800,0.454953
0.45,014,003,8.666900,3.952800,0.456080
0.50,014,003,7.563500,3.181100,0.420586
0.05,015,009,63.474900,60.977600,0.960657
0.10,015,009,37.100600,32.282300,0.870129
0.15,015,009,26.408500,19.416000,0.735218
0.20,015,009,20.441100,12.947000,0.633381
