p,w,s,base,best,gain
0.05,002,001,9.629652,9.074694,0.942370
0.10,002,001,4.885451,4.393635,0.899330
0.15,002,001,3.286433,2.927177,0.890685
0.20,002,001,2.473705,2.162414,0.874160
0.25,002,001,1.981247,1.753256,0.884926
0.30,002,001,1.654606,1.477041,0.892685
0.35,002,001,1.419921,1.298167,0.914253
0.40,002,001,1.245159,1.167304,0.937473
0.45,002,001,1.103191,1.069177,0.969168
0.50,002,002,0.995722,0.992470,0.996734
0.05,003,002,9.629652,9.009645,0.935615
0.10,003,002,4.885451,4.255495,0.871055
0.15,003,002,3.286433,2.754354,0.838098
0.20,003,002,2.473705,2.006896,0.811291
0.25,003,002,1.981247,1.599831,0.807487
0.30,003,002,1.654606,1.328324,0.802804
0.35,003,002,1.419921,1.157505,0.815190
0.40,003,002,1.245159,1.029558,0.826849
0.45,003,002,1.103191,0.939295,0.851435
0.50,003,002,0.995722,0.863662,0.867373
0.05,004,002,9.629652,7.930782,0.823579
0.10,004,002,4.885451,3.607920,0.738503
0.15,004,002,3.286433,2.285779,0.695520
0.20,004,002,2.473705,1.704880,0.689201
0.25,004,002,1.981247,1.381404,0.697240
0.30,004,002,1.654606,1.192451,0.720686
0.35,004,002,1.419921,1.060610,0.746950
0.40,004,002,1.245159,0.970161,0.779147
0.45,004,002,1.103191,0.899368,0.815243
0.50,004,003,0.995722,0.848392,0.852037
0.05,005,003,9.629652,7.802889,0.810298
0.10,005,003,4.885451,3.383271,0.692520
0.15,005,003,3.286433,2.066524,0.628805
0.20,005,003,2.473705,1.493679,0.603823
0.25,005,003,1.981247,1.182816,0.597006
0.30,005,003,1.654606,1.005658,0.607793
0.35,005,003,1.419921,0.887950,0.625351
0.40,005,003,1.245159,0.812545,0.652563
0.45,005,003,1.103191,0.761458,0.690233
0.50,005,003,0.995722,0.723501,0.726609
0.05,006,003,9.629652,6.860538,0.712439
0.10,006,003,4.885451,2.929266,0.599590
0.15,006,003,3.286433,1.865836,0.567739
0.20,006,003,2.473705,1.392100,0.562759
0.25,006,003,1.981247,1.151265,0.581081
0.30,006,004,1.654606,0.995037,0.601374
0.35,006,004,1.419921,0.892313,0.628425
0.40,006,004,1.245159,0.825254,0.662770
0.45,006,004,1.103191,0.777571,0.704839
0.50,006,004,0.995722,0.741996,0.745184
0.05,007,004,9.629652,6.801184,0.706275
0.10,007,004,4.885451,2.833029,0.579891
0.15,007,004,3.286433,1.690418,0.514363
0.20,007,004,2.473705,1.254744,0.507232
0.25,007,004,1.981247,1.017811,0.513723
0.30,007,004,1.654606,0.890569,0.538237
0.35,007,004,1.419921,0.807965,0.569021
0.40,007,004,1.245159,0.755586,0.606819
0.45,007,004,1.103191,0.717651,0.650523
0.50,007,004,0.995722,0.690144,0.693109
0.05,008,004,9.629652,5.916921,0.614448
0.10,008,004,4.885451,2.423525,0.496070
0.15,008,004,3.286433,1.534505,0.466921
0.20,008,004,2.473705,1.175807,0.475322
0.25,008,005,1.981247,0.988369,0.498862
0.30,008,005,1.654606,0.871756,0.526866
0.35,008,004,1.419921,0.805024,0.566950
0.40,008,003,1.245159,0.754018,0.605560
0.45,008,003,1.103191,0.719175,0.651905
0.50,008,006,0.995722,0.692499,0.695474
0.05,009,005,9.629652,5.877674,0.610372
0.10,009,005,4.885451,2.271803,0.465014
0.15,009,005,3.286433,1.394600,0.424351
0.20,009,005,2.473705,1.055431,0.426660
0.25,009,005,1.981247,0.897983,0.453241
0.30,009,005,1.654606,0.811926,0.490707
0.35,009,005,1.419921,0.758019,0.533846
0.40,009,005,1.245159,0.720426,0.578582
0.45,009,005,1.103191,0.693367,0.628511
0.50,009,005,0.995722,0.671685,0.674571
0.05,010,005,9.629652,5.251252,0.545321
0.10,010,005,4.885451,2.103562,0.430577
0.15,010,006,3.286433,1.343023,0.408657
0.20,010,006,2.473705,1.038158,0.419677
0.25,010,006,1.981247,0.889868,0.449146
0.30,010,006,1.654606,0.808375,0.488560
0.35,010,004,1.419921,0.753644,0.530765
0.40,010,004,1.245159,0.715106,0.574309
0.45,010,004,1.103191,0.689769,0.625249
0.50,010,006,0.995722,0.667584,0.670453
0.05,011,006,9.629652,5.247427,0.544924
0.10,011,006,4.885451,1.986145,0.406543
0.15,011,006,3.286433,1.221923,0.371808
0.20,011,006,2.473705,0.963340,0.389432
0.25,011,006,1.981247,0.827688,0.417761
0.30,011,006,1.654606,0.757931,0.458073
0.35,011,006,1.419921,0.707599,0.498337
0.40,011,006,1.245159,0.679388,0.545623
0.45,011,006,1.103191,0.653002,0.591921
0.50,011,006,0.995722,0.636598,0.639333
0.05,012,006,9.629652,4.533665,0.470803
0.10,012,006,4.885451,1.829745,0.374529
0.15,012,007,3.286433,1.194580,0.363488
0.20,012,006,2.473705,0.950436,0.384215
0.25,012,007,1.981247,0.826602,0.417213
0.30,012,006,1.654606,0.758845,0.458626
0.35,012,007,1.419921,0.716622,0.504691
0.40,012,006,1.245159,0.685275,0.550351
0.45,012,007,1.103191,0.661885,0.599973
