p,w,s,base,best,gain
0.05,002,001,52.228300,50.877200,0.974131
0.10,002,001,31.904000,30.711400,0.962619
0.15,002,001,23.282200,22.422900,0.963092
0.20,002,001,18.404600,17.452300,0.948258
0.25,002,001,15.147900,14.440400,0.953294
0.30,002,001,12.798900,12.211100,0.954074
0.35,002,001,11.096100,10.625900,0.957625
0.40,002,001,9.685600,9.403600,0.970885
0.45,002,001,8.553800,8.386700,0.980465
0.50,002,002,7.574500,7.559800,0.998059
0.05,003,002,52.228300,50.970900,0.975925
0.10,003,002,31.904000,30.511600,0.956357
0.15,003,002,23.282200,22.058700,0.947449
0.20,003,002,18.404600,17.132500,0.930881
0.25,003,002,15.147900,14.034400,0.926491
0.30,003,002,12.798900,11.794600,0.921532
0.35,003,002,11.096100,10.171400,0.916664
0.40,003,002,9.685600,8.898100,0.918694
0.45,003,002,8.553800,7.920800,0.925998
0.50,003,002,7.574500,7.018500,0.926596
0.05,004,002,52.228300,48.152400,0.921960
0.10,004,002,31.904000,28.172600,0.883043
0.15,004,002,23.282200,19.933800,0.856182
0.20,004,002,18.404600,15.425300,0.838122
0.25,004,002,15.147900,12.546600,0.828273
0.30,004,002,12.798900,10.673500,0.833939
0.35,004,002,11.096100,9.274800,0.835861
0.40,004,002,9.685600,8.225600,0.849261
0.45,004,002,8.553800,7.321400,0.855924
0.50,004,002,7.574500,6.659800,0.879240
0.05,005,003,52.228300,48.236000,0.923561
0.10,005,003,31.904000,27.742400,0.869559
0.15,005,003,23.282200,19.331700,0.830321
0.20,005,003,18.404600,14.786800,0.803430
0.25,005,003,15.147900,11.688100,0.771599
0.30,005,003,12.798900,9.657800,0.754580
0.35,005,003,11.096100,7.980700,0.719235
0.40,005,003,9.685600,6.750600,0.696973
0.45,005,003,8.553800,5.762100,0.673630
0.50,005,003,7.574500,4.989900,0.658776
0.05,006,003,52.228300,44.594700,0.853842
0.10,006,003,31.904000,25.133400,0.787782
0.15,006,003,23.282200,17.570900,0.754692
0.20,006,003,18.404600,13.360200,0.725916
0.25,006,003,15.147900,10.949500,0.722839
0.30,006,003,12.798900,9.247600,0.722531
0.35,006,004,11.096100,7.830200,0.705671
0.40,006,004,9.685600,6.762100,0.698160
0.45,006,004,8.553800,5.919500,0.692032
0.50,006,004,7.574500,5.240600,0.691874
0.05,007,004,52.228300,45.121700,0.863932
0.10,007,004,31.904000,25.431100,0.797113
0.15,007,004,23.282200,17.044700,0.732091
0.20,007,004,18.404600,12.750300,0.692778
0.25,007,004,15.147900,9.834100,0.649206
0.30,007,004,12.798900,7.943000,0.620600
0.35,007,004,11.096100,6.557800,0.591000
0.40,007,004,9.685600,5.619200,0.580160
0.45,007,004,8.553800,4.965200,0.580467
0.50,007,004,7.574500,4.471600,0.590349
0.05,008,004,52.228300,41.179600,0.788454
0.10,008,004,31.904000,22.341000,0.700257
0.15,008,004,23.282200,15.193900,0.652597
0.20,008,005,18.404600,11.453200,0.622301
0.25,008,005,15.147900,8.945100,0.590517
0.30,008,005,12.798900,7.212100,0.563494
0.35,008,005,11.096100,6.124100,0.551915
0.40,008,005,9.685600,5.360500,0.553450
0.45,008,005,8.553800,4.804500,0.561680
0.50,008,003,7.574500,4.347600,0.573978
0.05,009,005,52.228300,41.659900,0.797650
0.10,009,005,31.904000,21.830200,0.684246
0.15,009,005,23.282200,14.024000,0.602349
0.20,009,005,18.404600,9.909100,0.538403
0.25,009,005,15.147900,7.598100,0.501594
0.30,009,005,12.798900,6.286800,0.491198
0.35,009,005,11.096100,5.394500,0.486162
0.40,009,005,9.685600,4.822100,0.497863
0.45,009,005,8.553800,4.368300,0.510685
0.50,009,005,7.574500,4.029700,0.532009
0.05,010,005,52.228300,38.253700,0.732432
0.10,010,005,31.904000,20.151600,0.631632
0.15,010,006,23.282200,13.289100,0.570784
0.20,010,006,18.404600,9.590100,0.521071
0.25,010,006,15.147900,7.519000,0.496372
0.30,010,006,12.798900,6.355400,0.496558
0.35,010,006,11.096100,5.534500,0.498779
0.40,010,004,9.685600,4.877700,0.503603
0.45,010,004,8.553800,4.338800,0.507237
0.50,010,004,7.574500,3.988000,0.526503
0.05,011,006,52.228300,39.145700,0.749511
0.10,011,007,31.904000,19.607700,0.614584
0.15,011,006,23.282200,12.148400,0.521789
0.20,011,006,18.404600,8.802100,0.478255
0.25,011,006,15.147900,6.849600,0.452181
0.30,011,006,12.798900,5.754100,0.449578
0.35,011,004,11.096100,4.958200,0.446842
0.40,011,004,9.685600,4.338100,0.447892
0.45,011,003,8.553800,3.921900,0.458498
0.50,011,003,7.574500,3.461400,0.456981
0.05,012,006,52.228300,34.958900,0.669348
0.10,012,006,31.904000,18.015200,0.564669
0.15,012,007,23.282200,11.530100,0.495232
0.20,012,007,18.404600,8.480000,0.460754
0.25,012,007,15.147900,6.762800,0.446451
0.30,012,005,12.798900,5.708600,0.446023
0.35,012,005,11.096100,4.940600,0.445256
0.40,012,005,9.685600,4.401100,0.454396
0.45,012,003,8.553800,4.002300,0.467897
0.50,012,003,7.574500,3.552800,0.469047
0.05,013,007,52.228300,35.315100,0.676168
0.10,013,007,31.904000,16.773500,0.525749
0.15,013,007,23.282200,10.290300,0.441981
0.20,013,007,18.404600,7.614300,0.413717
0.25,013,007,15.147900,6.162100,0.406796
0.30,013,005,12.798900,5.151400,0.402488
0.35,013,005,11.096100,4.483800,0.404088
0.40,013,005,9.685600,4.078900,0.421130
0.45,013,003,8.553800,3.642200,0.425799
0.50,013,003,7.574500,3.275100,0.432385
0.05,014,007,52.228300,32.318800,0.618799
0.10,014,008,31.904000,15.890800,0.498082
